,x,y,z,Vx,Vy,Vz,cloneOf
18737,-3573927491.9422593,-21612761.276278377,185182733.1994977,129040.18117946814,-507797.39133720467,-31858.8564826797,1049
18738,-3519579531.201327,597299436.5163443,252013452.95799956,38566.54476626133,-522445.9368505888,-32975.9069198503,1049
18739,-3559339053.507758,288028724.1863204,236352342.92049313,83957.89299777627,-516932.0784524901,-35451.9987341571,1049
18740,-3572009856.4293137,-23434060.651260376,218892448.83991513,128710.27096841621,-507484.0548052451,-37658.27943159487,1049
18741,-3517003571.7722783,594852885.4035637,290780664.16802025,38229.48102079629,-522125.80615588685,-38048.588292208915,1049
18742,-3556923174.35854,285734211.4101443,272710406.70809996,83595.51984131993,-516587.90981412865,-40905.577130916376,1049
18743,-3569772443.8589993,-25559072.463141084,252564658.38608524,128325.34627949612,-507118.4675543766,-43451.24982819479,1049
18744,-3514059890.6303363,592057085.7910857,329498051.60817873,37844.30096711639,-521759.9763690025,-43114.750234838335,1049
18745,-3554162425.17415,283112153.81365764,309021742.97143435,83181.41742379812,-516194.61063442554,-46352.146567616765,1049
18746,-3567215637.6004415,-27987432.602085352,286193592.27824736,127885.4730675717,-506700.6922260929,-49236.7750768243,1049
18747,-3510748992.160108,588912516.724781,368158981.2534548,37411.07060384081,-521348.51017298637,-48173.52468697036,1049
18748,-3551057278.9947486,280163000.6729311,345280129.9499589,82715.65669952825,-515752.24830317067,-51790.77380262428,1049
18749,-3564339875.7492304,-30718724.98108554,319773488.3717012,127390.72670265331,-506230.8004040457,-55013.86385751599,1049
18750,-3436209202.71497,584831211.8381324,208022305.30680293,81233.90193181662,-530832.7075318929,-30507.628970636644,1049
18751,-3474868716.151893,282948520.8656573,195094978.70805758,127202.13245704296,-521612.7332289462,-32446.874517083215,1049
18752,-3487082380.4758034,-21087579.199594498,180682861.51977497,172202.27794752363,-508422.97106774757,-34139.1797564963,1049
18753,-3434055055.0077357,582785281.917499,245889619.59469596,80917.98418009601,-530532.660520941,-36061.081388663224,1049
18754,-3472848435.680253,281029733.10049164,230609068.71793413,126866.13310233524,-521293.6134532681,-38353.33725523093,1049
18755,-3485211342.7940254,-22864621.675803185,213573443.582666,171848.75414780003,-508087.2072215259,-40353.70106690812,1049
