,id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
455,bK17S13V,3781821,       (2017 SV13),2017 SV13,,,N,N,18.2,,,,5,2459000.5,59000,20200531.0,J2000,0.792073029486103,9.652537639168363,2.007022909083641,113.2551892867134,11.67931785285446,343.2013999269404,33.48690464431709,17.29805236925309,0.0328656191436688,2457981.596187541,20170816.0961875,10953.69597104789,29.9895851363392,1.03308,402.0437436,0.00071712,0.034049,0.00015806,0.006947,0.00070632,0.010823,0.17807,0.061018,0.0001739,0.02714,57.958,CEN,0.49657
456,bK17U43V,3788767,       (2017 UV43),2017 UV43,,,N,N,13.7,,,,6,2459000.5,59000,20200531.0,J2000,0.2604642120281477,6.735451412620765,4.981107367778623,5.201679369459464,320.83657317205,181.5296172850696,341.7342023835161,8.489795457462908,0.0563837572291485,2459324.4549564286,20210419.9549564,6384.817502262728,17.4806776242648,3.99394,1554.3216298,3.8842e-06,7.1949e-06,3.1468e-05,1.5119e-05,0.00059568,0.0012822,0.000281,9.0689e-06,9.0345e-08,0.0044924,0.010231,CEN,0.61587
457,bK17U51X,3789114,       (2017 UX51),2017 UX51,,,N,N,10.9,,,,JPL 17,2459000.5,59000,20200531.0,J2000,0.7466482189800898,30.0513937581211,7.613574130750594,90.49135308122388,217.7845207395638,255.0346532032343,355.0955193855798,52.48921338549162,0.0059828366494131,2459820.2584025464,20220828.7584025,60172.1258820117,164.742302209478,7.28092,2833.5156364,6.7069e-06,0.00091089,3.5802e-05,2.6268e-05,6.5698e-06,0.00046692,0.00025638,0.001591,2.7202e-07,0.0056231,2.7358,CEN,0.51617
458,bK17W14W,3789710,       (2017 WW14),2017 WW14,,,N,N,13.9,,,,4,2459000.5,59000,20200531.0,J2000,0.7469532726125521,22.77649646431304,5.763517891646194,5.982971002787044,127.5359377806364,272.3689809683996,8.752126167756721,39.78947503697989,0.0090672103892755,2458035.249852269,20171008.7498523,39703.50135757287,108.702262443731,4.77827,1859.5593359,8.4738e-06,0.00079421,1.5172e-05,9.6116e-06,0.00025999,0.00050439,0.00044731,0.0013874,4.7426e-07,0.0045119,2.0767,CEN,0.45993
459,bK17Y02L,3795011,       (2017 YL2),2017 YL2,,,N,N,16.3,,,,3,2459000.5,59000,20200531.0,J2000,0.7666231029187232,8.943300996423623,2.087159836209237,27.84388623199792,168.1552081313936,339.8493364614152,32.8480556775278,15.79944215663801,0.0368516809417183,2458109.1415914246,20171221.6415914,9768.88952689422,26.7457618806139,1.11439,433.6871563,1.5201e-05,0.00061426,1.2123e-05,0.00020592,0.00010449,0.00067352,0.0033764,0.0010852,3.7966e-06,0.001393,1.0064,CEN,0.59598
460,bK18A18S,3799652,       (2018 AS18),2018 AS18,,,N,N,16.0,,,,5,2459000.5,59000,20200531.0,J2000,0.8721191705066584,12.97132279945357,1.658783519220015,62.97601441264991,351.6979430700264,214.9226445093756,17.13241583454223,24.28386207968711,0.0210973386027248,2458188.4347363594,20180310.9347364,17063.76367081222,46.7180387975694,0.765983,298.09760411,4.1227e-05,0.0042561,9.6069e-06,0.00040877,0.00030094,0.00032868,0.0084225,0.0079679,1.0384e-05,0.0006258,8.3983,CEN,0.43681
461,bK18A25N,54006001,       (2018 AN25),2018 AN25,,,N,N,16.256,,,,JPL 1,2459000.5,59000,20200531.0,J2000,0.4854061087452227,5.74702889273193,2.957385961064559,12.45470687326148,107.0938657577546,52.29556021860735,53.34538213065551,8.536671824399303,0.0715383638361271,2458254.8108442784,20180516.3108443,5032.264937239153,13.7775905194775,1.98825,773.7672525,9.358e-06,0.00011854,1.2639e-05,1.9766e-05,8.3437e-05,0.0011293,0.0018675,0.00017607,2.2133e-06,0.0053412,0.15569,CEN,0.75685
462,bK18E01Z,3799851,       (2018 EZ1),2018 EZ1,,,N,N,11.6,,,,JPL 8,2459000.5,59000,20200531.0,J2000,0.3915458086456479,16.22462145594911,9.871938928009987,29.71117181321862,357.6348290399939,184.6362893709117,2.715383477673412,22.57730398388824,0.0150814193014313,2458820.4517284543,20191202.9517285,23870.43240458358,65.3536821480728,8.87601,3454.2768117,8.2125e-06,0.00026087,2.5978e-05,1.532e-05,2.1552e-05,0.00052492,0.00014951,0.00036301,3.6373e-07,0.014046,0.5757,CEN,0.70916
463,bK18E04G,3801931,       (2018 EG4),2018 EG4,,,N,N,15.5,,,,JPL 2,2458185.5,58185,20180308.0,J2000,0.6660070427827501,13.14904434372084,4.391688204940077,17.38960890689424,28.99630341264011,100.6349358306234,5.787370867046222,21.90640048250161,0.0206710619680741,2457905.525469616,20170601.0254696,17415.65094991293,47.6814536616371,3.46213,1347.3571321,0.026842,0.81625,0.080844,0.32035,0.82014,3.3567,0.48768,1.3599,0.0019248,23.068,1621.7,CEN,0.39973
464,bK18M08O,3825508,       (2018 MO8),2018 MO8,,,N,N,13.5,,,,JPL 15,2459000.5,59000,20200531.0,J2000,0.6686924043370303,15.07353803251455,4.993977643686727,51.45447859542639,138.4019000971545,74.82879812684314,8.719498747497866,25.15309842134237,0.0168415194931381,2458482.761754882,20181230.2617549,21375.74345038624,58.5235960311738,4.37588,1702.9612196,4.0488e-06,0.00019777,4.7314e-06,1.0471e-05,1.2048e-05,0.00012556,0.00015624,0.00033002,3.3145e-07,0.001131,0.42069,CEN,0.58385
465,bK18P28L,3830510,       (2018 PL28),2018 PL28,,,N,N,14.849,,,,3,2459000.5,59000,20200531.0,J2000,0.8624280510973497,19.53715767594129,2.687764857497619,74.14524760649651,350.7659014561106,275.1394932781338,11.97278381012531,36.38655049438497,0.0114133202019874,2457951.481519993,20170716.98152,31542.09236478897,86.3575424087309,2.36822,921.6401774,1.9488e-06,0.00027399,5.7791e-07,9.0425e-05,8.829e-06,6.089e-05,0.00024811,0.00051029,2.4009e-07,0.00062504,0.66353,CEN,0.48393
466,bK18R02R,3827332,       (2018 RR2),2018 RR2,,,N,N,11.9,,,,JPL 10,2459000.5,59000,20200531.0,J2000,0.6422874669366905,21.49551146299413,7.689213854919036,40.22187832712245,1.454693397672025,7.628773653640309,3.078645391163378,35.30180907106922,0.0098896836387375,2458689.2013271987,20190724.7013272,36401.56886211141,99.6620639619751,6.69177,2604.2361309,1.3246e-05,0.00086155,2.4155e-05,3.9654e-05,1.3914e-05,0.00046018,0.00013968,0.0014149,5.9458e-07,0.0078444,2.1885,CEN,0.49035
467,bK18R39G,3978831,       (2018 RG39),2018 RG39,,,N,N,15.362,,,,JPL 5,2459000.5,59000,20200531.0,J2000,0.5287526291297359,5.850941948332236,2.757241010266107,15.8455639188735,33.90508876684884,69.02827880669403,25.7491676362357,8.944642886398364,0.0696410627740765,2458630.758835656,20190527.2588357,5169.363959419752,14.1529471852697,1.82308,709.4880436,6.034e-06,7.9711e-05,2.7873e-06,1.9472e-05,4.0728e-05,0.00039378,0.00057113,0.00012186,1.4231e-06,0.0019209,0.10564,CEN,0.55125
468,bK18T06L,3831869,       (2018 TL6),2018 TL6,,,N,N,19.9,,,,JPL 1,2458399.5,58399,20181008.0,J2000,0.790280322819,8.221900222865019,1.724294260553644,170.9182420951266,45.50923082642876,78.39184365290703,356.5578120631019,14.71950618517639,0.0418066887163125,2458481.835818564,20181229.3358186,8611.06227385886,23.575803624528,0.741081,288.40649277,0.034277,1.4117,0.014232,0.026549,0.21134,1.2707,1.0077,2.5273,0.010767,2.8996,2217.7,CEN,0.23828
469,bK18U01B,3831901,       (2018 UB1),2018 UB1,,,N,N,14.2,,,,JPL 9,2459000.5,59000,20200531.0,J2000,0.5146546613122641,7.650191348483776,3.712984711055845,19.36523297061133,225.9777884576327,157.4641546877958,26.04651094955013,11.58739798591171,0.0465795862939506,2458441.317039782,20181118.8170398,7728.707544290781,21.1600480336503,2.72764,1061.5156588,9.632e-06,0.00017422,1.2306e-05,2.3484e-05,3.461e-05,0.00063318,0.0010375,0.00026388,1.5911e-06,0.0038404,0.26401,CEN,0.45294
