,x,y,z,Vx,Vy,Vz
32,1007813794518.3179,617692908880.1505,3458218968.871132,12248.487685541502,-3211.9841756259793,1344.7468750562914
33,1862276568765.1199,2947085142592.279,1069837561296.1587,-5024.761686539499,3315.728150440636,523.1055319785023
34,-1014000368401.8792,-1615053660901.543,-1276892214958.1584,735.2210087192782,3518.3702600868273,-8124.424827778762
35,313689547284.0237,564315643771.9788,-1778586540141.4927,-1901.7726851914433,9790.729117562878,779.7704801062237
36,507484487879.7657,1599860532529.034,-154962003264.88483,-6084.115051100074,4333.408051664408,-5552.371460619032
37,679103332008.9885,1456603067768.754,-38179141555.0686,4551.482107376885,-579.1113640543954,-9140.271094302485
38,347840964338.4104,-824156764823.7307,425093652013.7843,-534.9860359635926,9715.310718254814,4777.063819743355
39,527041140736.18555,-6970401261.764946,215319187345.79166,-15843.95290769845,-6029.327718206,6844.506648333715
40,-644617024111.0874,2043091020080.4238,-342108783325.82184,-8014.295020344997,443.6052028580923,-1338.3502493073854
41,-1400566778627.5989,414178986104.36176,339970003574.28217,-6571.622923260258,-7243.52354993026,283.42200499144246
42,869999610947.5338,885549212142.9045,1054171340024.4565,-681.8019013514955,-6917.831340049057,9046.651470264589
43,-1665716464971.6191,-242280175694.31195,1086829620518.8468,-3021.069712589427,-8829.136830001062,-3979.798532822724
44,-1163060730366.9238,616473581175.2878,812572647422.6656,3138.004453634284,1818.7062763087874,7251.26661265897
45,511354352722.4269,-164471651852.58673,442025043444.93823,-8940.333828286419,-9821.017881804884,6784.950688020548
46,-451418351641.35474,-1583482626418.809,330648221367.49084,7887.070720282381,-4329.542852568607,3162.6013826406033
47,-1510838896000.2478,857613382633.8633,442868174934.2171,-4857.734582408731,-2604.2492050172327,-2899.443254754651
48,-1167711829308.9863,-1695403576941.2734,276153306651.53687,3470.9745586996332,-3814.0972920832482,7750.472175673769
49,-121001847374.0809,544914421668.7675,1065959439295.1704,4133.163065953549,11450.947560286506,-1607.370199610069
50,-2123155562482.1438,423693329445.55225,-753262403648.3196,691.1836316007546,7735.554913706954,3281.6727635221223
51,-108051147915.22897,789136533907.8353,-1075678532564.9628,3868.07187830242,-4739.002285322302,-9187.495938205964
52,-787152302126.2214,466867480777.05176,1133480643629.1023,-9749.461641384663,-2144.3352683461144,-301.70190674930063
53,-348194732302.139,-536623718186.4409,-396436953853.2329,7792.890649459645,-10344.698342795713,-7593.913799573353
54,-826207186014.1035,-357593414569.5048,-397536315683.20703,3955.5435166493135,-13409.680012122746,998.419475846841
55,706448944208.3153,256180776454.02637,539786898018.98065,-1765.1162170478037,4907.144759823748,-10238.66811114312
56,328891202550.1835,-806971425187.3108,-170370198548.22165,11733.325387637113,835.2940434263795,2252.2153997477853
57,-494537294625.4935,630340986068.8989,-559451910656.2675,-1761.9720275612358,11843.339131982148,9124.67106781092
58,-1540707553016.8125,-825235175321.6912,225384845489.72717,-3946.4644748454934,3263.4911180814192,-9130.848678023123
59,-917212422133.412,-702368899516.3887,175647700049.03036,3176.674436814433,-10807.089212693081,-172.9382233157179
60,-1149166518561.217,-1219529405061.5854,-44800973381.1842,5108.657008905078,-8583.463607943588,-247.13741832818764
61,-1106233223832.8057,2241398777885.503,-847364983370.6387,5570.7307876097275,4363.540938190525,-3210.7117623124427
62,-677139548158.6959,-616981264780.1311,-668027939684.9331,7751.227320400128,-6322.8412921784,3045.4357723648513
63,449204228496.87585,703559446094.5741,-64378608164.523735,9811.325160419483,-9346.320452245443,698.3951236860273
64,658659513170.0565,545876663975.0711,379854408268.502,12472.77034778363,-7690.006112535396,830.7180115188953
65,-693082868948.2701,-1410692439211.9668,1458921505187.7617,-8219.034827101723,1252.3102486430105,-4869.486728953972
66,1869905494406.9897,428399566486.84045,290340007035.1283,2889.0967957110847,-8851.993696852422,2466.9251702991874
67,1042347494828.342,-315006185086.43286,638355487616.3767,-3065.34610744116,-11518.616153487395,-1444.7323662444182
68,368418806944.0375,-674039049826.843,-655653113714.3063,-5297.153757497184,-11081.898326251216,5541.784590105833
69,-593440115488.6133,-463236741042.0469,646649870038.6857,-7410.892579608054,9940.756023284157,6864.871588955101
70,261383193388.57227,570337554691.7703,732752514443.9172,10717.836603281226,-2333.6426462377585,-990.4656772319695
71,2464792447453.7495,1488280005125.3955,-1332524912617.5183,1387.7565243429335,-6764.335673798187,-2339.6199704328105
72,-441089035972.0569,145861821267.0845,-952564820966.2983,7740.904171093202,-9942.061757372112,-6672.569578544656
73,-102535570156.02374,-892849232687.5892,1916347910123.2698,7112.41740575701,-6079.145459946076,-1680.5169518922457
74,-3134898001102.1875,-1728608331047.5547,-1309783721908.7673,3745.3185580464924,-2854.4185799194465,-2848.2078136424198
75,-950060137534.2593,911293566405.339,1102126763585.0757,626.1954613600072,-7009.779682383828,8405.641954504417
76,2925837626457.2896,-50949311369.54321,-7005046251.981951,-29.430538852703876,7324.610393382964,-75.95716824092928
77,-185510227469.3746,-462050301603.7716,1383530112962.3723,-8964.718677850333,4841.8893926172905,680.3463392868343
78,-1713588780487.839,1449415950942.5515,-810766493487.322,-790.7579230295919,6285.9211004264025,6340.6862409213045
79,-2839578490960.4507,-44850427947.07153,-124194909000.92603,100.66189728008783,-6721.617891743963,-2619.880852433185
80,1971085577271.141,-1080447999776.9116,-689996514727.9833,-3361.4030065399907,-2824.6169518831357,-6971.273307938127
81,1545381655106.3281,-353647797866.0208,99557056951.00555,-1200.6664846322433,-10277.474895049201,1009.3381161070897
82,-1741087710351.0884,-1018722335678.1064,-60303674003.58473,5762.679278632655,-7185.579345672959,-569.4052269765759
83,-1982214800718.7769,116404456627.72717,434334809929.09174,-826.6334634256136,-8332.5640336018,4664.552429927222
84,-1220150089078.6765,-1046166581778.2762,149062424814.9879,7053.41674022796,-9170.41342730992,-622.1866796058428
85,-85909937490.46957,-901632359116.7825,-22443108930.775665,13493.206680193221,-2272.969183275744,-1367.1926033698046
86,373998966161.65814,-772482648920.4866,269243886925.75507,8488.144582990553,6162.343135875397,5455.03358410862
87,1642287281434.7732,1179335803604.183,-1021898190285.9441,-7341.371319754973,2475.5146440817543,-3909.119577939384
88,3111551169185.685,-1929097214021.458,1227417240051.9204,2192.3614183824134,-1615.6841382689508,-5135.386696044547
89,598564304148.9236,225183128426.3148,333393163652.7214,-5038.609496278901,15752.928356504737,1608.336518163507
90,886035502676.5225,-451193098387.009,-38214278089.30324,-5784.404522945259,-13092.972626173836,-689.8496187197425
91,-333797418606.8441,563356773679.5642,882046389585.7676,-361.6861283306496,10914.567684289868,-4474.211417297458
92,-506765503129.6057,1203621732341.4944,934565627611.7512,-2595.585762240154,-6768.599103789053,7222.050554894653
93,-1134215122482.2744,731934394488.7255,506623116734.3049,-8577.95463820547,-6635.844102572028,-5505.563868007549
