"spkid","a","e","i","om","w","ma"
54016505,16.83,0.6275,8.31,175.77,204.14,79.01
3480719,19.42,0.8341,17.44,21.16,300.62,70.01
3439305,18.36,0.0355,32.63,74.64,284.80,0.00
54393155,5.97,0.4457,149.55,44.88,44.98,13.18
54419603,7.178,0.3816,7.39,79.76,344.23,300.84
3581701,9.838,0.6178,7.11,60.90,310.32,194.25
3440787,14.02,0.8785,60.47,264.71,140.16,110.29
54180252,5.699,0.6974,10.15,288.32,108.63,358.94
3444383,23.53,0.9178,70.31,263.04,227.25,49.77
3445695,6.272,0.6448,8.79,89.10,11.01,17.23
3456728,6.681,0.4278,26.75,0.21,127.50,340.93
3455147,11.5,0.8571,86.50,180.14,314.80,144.85
3466961,5.509,0.1569,4.95,273.48,70.07,282.66
54180279,20.04,0.9228,22.82,63.13,278.19,45.96
3536594,29.15,0.2373,14.53,345.39,348.77,11.60
3466029,12.49,0.8334,137.86,197.68,195.07,122.52
54180299,13.26,0.9016,18.01,194.18,42.99,94.37
3525757,5.992,0.4744,15.65,130.47,305.44,359.82
3487952,18.54,0.5394,20.86,227.12,252.65,68.64
3530776,5.857,0.4695,5.64,188.95,234.42,29.22
3533168,9.127,0.8328,26.55,107.76,26.48,2.85
3592546,8.75,0.7333,29.71,170.56,291.90,356.64
3509184,5.835,0.5736,19.17,284.79,95.68,32.19
3509898,5.64,0.4098,74.60,132.34,215.54,70.17
3528632,8.094,0.6558,24.23,176.25,266.63,0.50
3509993,6.66,0.5825,27.15,134.33,15.10,309.63
3511109,7.462,0.7583,23.82,14.01,78.54,1.77
3535798,7.821,0.6642,25.86,108.91,94.94,3.58
3511544,8.23,0.6141,36.15,239.28,243.10,219.26
3512266,21.54,0.5617,10.45,273.28,238.29,56.96
3512268,19.84,0.1432,14.57,4.63,239.40,14.13
3528672,21.48,0.9006,41.49,353.04,176.97,52.87
54180434,10.89,0.8274,8.83,88.32,42.81,112.58
3515797,24.41,0.7616,61.81,280.31,314.05,43.54
3519275,12.42,0.8757,21.90,352.98,222.84,2.22
54180467,16.57,0.8323,121.83,13.30,27.27,81.53
3521851,12.87,0.2048,17.89,20.93,172.05,126.70
3523722,5.779,0.4734,12.89,202.96,75.85,19.79
3523801,14.55,0.7624,41.79,334.39,194.93,94.08
3524068,6.217,0.2893,23.05,160.17,135.64,342.25
3525328,5.57,0.4829,13.65,325.80,354.07,31.33
54180500,9.073,0.7084,15.57,250.50,307.69,144.48
3529586,6.275,0.7841,123.73,317.00,350.37,333.01
3529681,12.58,0.0209,15.10,92.52,138.24,0.00
3530303,5.571,0.5851,14.64,291.16,22.23,38.83
3534072,14.86,0.8046,25.63,303.40,297.71,357.54
3536844,7.521,0.6900,11.62,66.89,281.65,359.61
3538207,27.16,0.9238,143.83,139.35,139.91,36.29
3595387,17.29,0.8906,15.22,324.79,276.98,0.35
3541823,26.23,0.9182,118.63,133.14,147.97,37.65
3542051,5.763,0.3108,28.32,19.85,339.76,31.47
54180611,18.82,0.9048,27.70,298.66,14.41,49.67
3545743,14.51,0.0794,36.59,34.69,301.34,0.00
3755408,24.88,0.1262,11.50,200.39,40.67,208.07
3569762,9.912,0.2265,34.46,230.51,126.58,186.82
54338990,6.622,0.7915,0.66,52.83,95.40,350.65
54347697,9.99,0.8315,3.36,342.01,209.47,356.62
3562208,6.739,0.1264,7.63,6.55,70.09,101.47
3562030,15.75,0.4001,153.42,47.80,32.70,178.62
3568420,21.26,0.4738,100.35,282.60,7.47,72.68
3588417,6.265,0.5381,11.36,212.90,193.48,297.87
54180799,6.492,0.7926,3.28,331.73,297.04,221.45
3578969,19.68,0.8839,109.19,182.05,186.47,53.23
3582092,6.112,0.6507,22.42,23.07,328.44,313.94
3582558,6.598,0.4535,16.69,44.78,263.93,302.47
3586561,11.15,0.3844,8.88,315.62,339.04,148.92
3590191,18.46,0.7787,24.59,221.49,294.07,47.47
3589712,8.923,0.4214,10.90,134.69,261.32,182.62
3598902,7.517,0.7653,16.72,295.35,243.27,218.60
54180871,10.2,0.6924,2.04,61.36,17.65,111.25
3598931,7.235,0.5158,15.30,106.11,6.56,244.19
3599240,6.448,0.3145,20.09,339.82,191.14,267.92
3599300,5.641,0.3936,11.70,286.73,182.25,354.78
3600354,7.506,0.4938,18.51,260.38,323.09,206.20
3601186,18.87,0.1349,16.77,128.94,302.27,101.17
